sample	plate	time	infection_status	larvae_only_control	technical_control	name	condition
4672STDY9495877	DN716587W	D3	infected	FALSE	FALSE	72_Inf_13	D3.infected
4672STDY9495878	DN716587W	D3	infected	FALSE	FALSE	72_Inf_14	D3.infected
4672STDY9495879	DN716587W	D3	infected	FALSE	FALSE	72_Inf_15	D3.infected
4672STDY9495880	DN716587W	D3	infected	FALSE	FALSE	72_Inf_16	D3.infected
4672STDY9495881	DN716587W	D3	infected	FALSE	FALSE	72_Inf_17	D3.infected
4672STDY9495882	DN716587W	D3	infected	FALSE	FALSE	72_Inf_18	D3.infected
4672STDY9495883	DN716587W	D3	infected	FALSE	FALSE	72_Inf_19	D3.infected
4672STDY9495884	DN716587W	D3	infected	FALSE	FALSE	72_Inf_20	D3.infected
4672STDY9495885	DN716587W	D3	infected	FALSE	FALSE	72_Inf_21	D3.infected
4672STDY9495886	DN716587W	D3	infected	FALSE	FALSE	72_Inf_22	D3.infected
4672STDY9495887	DN716587W	D3	infected	FALSE	FALSE	72_Inf_23	D3.infected
4672STDY9495888	DN716587W	D3	infected	FALSE	FALSE	72_Inf_24	D3.infected
4672STDY9495889	DN716587W	D3	control	FALSE	FALSE	72_Con_1	D3.control
4672STDY9495890	DN716587W	D3	control	FALSE	FALSE	72_Con_2	D3.control
4672STDY9495891	DN716587W	D3	control	FALSE	FALSE	72_Con_3	D3.control
4672STDY9495892	DN716587W	D3	control	FALSE	FALSE	72_Con_4	D3.control
4672STDY9495893	DN716587W	D3	control	FALSE	FALSE	72_Con_5	D3.control
4672STDY9495894	DN716587W	D3	control	FALSE	FALSE	72_Con_6	D3.control
4672STDY9495895	DN716587W	D3	control	FALSE	FALSE	72_Con_7	D3.control
4672STDY9495896	DN716587W	D3	control	FALSE	FALSE	72_Con_8	D3.control
4672STDY9495897	DN716587W	D3	control	FALSE	FALSE	72_Con_9	D3.control
4672STDY9495898	DN716587W	D3	control	FALSE	FALSE	72_Con_10	D3.control
4672STDY9495899	DN716587W	D3	control	FALSE	FALSE	72_Con_11	D3.control
4672STDY9495900	DN716587W	D3	control	FALSE	FALSE	72_Con_12	D3.control
4672STDY9495901	DN716587W	D3	control	FALSE	FALSE	72_Con_13	D3.control
4672STDY9495902	DN716587W	D3	control	FALSE	FALSE	72_Con_14	D3.control
4672STDY9495903	DN716587W	D3	control	FALSE	FALSE	72_Con_15	D3.control
4672STDY9495904	DN716587W	D3	control	FALSE	FALSE	72_Con_16	D3.control
4672STDY9495905	DN716587W	D3	control	FALSE	FALSE	72_Con_17	D3.control
4672STDY9495906	DN716587W	D3	control	FALSE	FALSE	72_Con_18	D3.control
4672STDY9495907	DN716587W	D3	control	FALSE	FALSE	72_Con_19	D3.control
4672STDY9495908	DN716587W	D3	control	FALSE	FALSE	72_Con_20	D3.control
4672STDY9495909	DN716587W	D3	NA	FALSE	TRUE	Negative_3	Negative.control
4672STDY9495910	DN716587W	D3	NA	FALSE	TRUE	Negative_4	Negative.control
4672STDY9495911	DN716587W	D3	NA	FALSE	TRUE	Negative_5	Negative.control
4672STDY9495912	DN716587W	D3	NA	FALSE	TRUE	Negative_6	Negative.control
